"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00248857","1954","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","11.7","","11.7","0","125","0","70","0","","","","","52","0","276","0","72","0","89","0","3","0","-37.8","0,1228,","","","","","31.8",",0,0610,","33.3","0,0713,","0.0","0,0802","-2.2","0,0818","-5.0","0,0914","-7.8","0,0919","-9.4","0,1001","0.0","0,0724","-2.2","0,0722","-4.4","0,0607","-6.7","0,0503","-17.8","0,0502","5522.9","","5522.9","0","550.8",",0","","","2.16","0","10.82","0","-6.49","0"
"USC00248857","1955","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","16.5","","16.5","0","","","","","","","","","63","0","268","0","111","0","89","0","5","0","-41.7","0,0305,","","","","","","","33.9","0,0716,","-0.6","0,0828","-2.8","0,0913","-5.6","0,0922","-6.7","0,0923","-8.9","0,0930","-2.8","0,0708","-2.8","0,0708","-6.1","0,0528","-6.7","0,0507","-11.7","0,0428","6393.9","","6393.9","0","","","","","0.55","0","8.95","0","-7.85","0"
"USC00248857","1956","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","2.9","","2.9","0","135","0","73","0","","","64","0","63","0","266","0","100","0","114","0","2","0","-46.7","0,0201,","","","356",",0,1031,","15.2",",0,1205,+","32.2","0,0723,+","-1.1","0,0804","-2.8","0,0830","-7.8","0,0831","-7.8","0,0831","-8.9","0,1022","0.0","0,0708","-2.2","0,0607","-6.7","0,0514","-6.7","0,0514","-10.6","0,0419","5817.3","","5817.3","0","539.9",",0","5341",",0","1.62","0","10.63","0","-7.39","0"
"USC00248857","1957","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.8","","0.8","0","148","0","86","0","185","","63","0","59","0","263","0","79","0","92","0","0","0","-47.8","0,0127,","1372",",0,0314,+","432",",0,0120,","31.8",",0,0120,","31.7","0,0710,","-0.6","0,0813","-5.0","0,0909","-5.0","0,0909","-6.7","0,0922","-11.1","0,1005","0.0","0,0725","-2.2","0,0704","-5.6","0,0522","-7.2","0,0428","-12.2","0,0427","6125.0","","6125.0","0","640.3",",0","5489",",0","1.65","0","10.35","0","-7.05","0"
"USC00248857","1958","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.8","","0.8","0","132","0","60","0","180","","55","0","46","0","261","0","69","0","103","0","2","0","-33.3","0,0120,","838",",0,0401,+","254",",0,0225,","22.1",",0,0912,","32.2","0,0816,+","-3.3","0,0830","-3.3","0,0830","-4.4","0,0916","-6.7","0,0927","-9.4","0,1017","-1.7","0,0727","-2.2","0,0705","-5.6","0,0505","-10.0","0,0430","-10.0","0,0430","5732.8","","5732.8","0","514.1",",0","3451",",0","2.73","0","11.66","0","-6.21","0"
"USC00248857","1959","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","3.4","","3.4","0","124","0","62","0","171","","57","0","66","0","274","0","81","0","90","0","2","0","-42.2","0,0103,","1372",",0,0211,","305",",0,0127,","20.8",",0,0920,","33.9","0,0723,","0.0","0,0810","-2.2","0,0814","-6.7","0,0909","-6.7","0,0909","-10.0","0,0929","-0.6","0,0730","-2.2","0,0708","-5.6","0,0521","-7.2","0,0508","-8.9","0,0507","5963.5","","5963.5","0","505.7",",0","3916",",0","1.46","0","10.23","0","-7.31","0"
"USC00248857","1960","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","19.2","","19.2","0","130","0","71","0","173","","63","0","62","0","272","0","101","0","101","0","6","0","-41.1","0,0229,","940",",0,0217,+","229",",0,0108,","18.5",",0,0816,","35.0","0,0721,+","0.0","0,0803","-3.9","0,0826","-5.0","0,0828","-11.1","0,1014","-11.1","0,1014","-0.6","0,0628","-3.3","0,0621","-5.6","0,0524","-6.7","0,0501","-10.0","0,0430","6192.0","","6192.0","0","512.7",",0","4643",",0","1.52","0","10.56","0","-7.52","0"
"USC00248857","1961","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","12.9","","12.9","0","156","0","83","0","196","","65","0","64","0","259","0","85","0","91","0","6","0","-41.7","0,0127,","1118",",0,0313,+","279",",0,1120,","37.1",",0,1021,","35.6","0,0804,","-1.1","0,0902","-2.8","0,0904","-5.6","0,0913","-8.9","0,0914","-8.9","0,0914","0.0","0,0702","-2.2","0,0523","-4.4","0,0514","-6.7","0,0508","-13.9","0,0425","5952.8","","5952.8","0","636.7",",0","4763",",0","1.62","0","10.32","0","-7.08","0"
"USC00248857","1962","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.0","","0.0","0","127","0","73","0","169","","44","0","44","0","263","0","73","0","85","0","0","0","-48.3","0,0110,","1702",",0,0302,","610",",0,0120,","26.7",",0,0210,","30.0","0,0815,+","-1.1","0,0823","-3.3","0,0824","-5.0","0,0831","-8.9","0,0909","-8.9","0,0909","-1.1","0,0720","-5.6","0,0607","-5.6","0,0607","-6.7","0,0501","-12.2","0,0430","6297.4","","6297.4","0","602.8",",0","4026",",0","1.87","0","10.43","0","-6.70","0"
"USC00248857","1963","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","8.4","","8.4","0","134","0","85","0","178","","59","0","54","0","250","0","74","0","94","0","1","0","-51.1","0,0112,","686",",0,0203,","254",",0,0203,","22.4",",0,0502,","33.3","0,0806,","0.0","0,0803","-2.2","0,0925","-4.4","0,1016","-8.9","0,1027","-8.9","0,1027","-1.7","0,0701","-2.8","0,0630","-6.1","0,0429","-7.8","0,0425","-13.9","0,0417","5889.6","","5889.6","0","726.0",",0","3741",",0","2.26","0","10.57","0","-6.06","0"
"USC00248857","1964","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","2.6","","2.6","0","150","0","90","0","187","","75","0","68","0","274","0","115","0","84","0","1","0","-46.7","0,1217,","1295",",0,0314,","229",",0,0121,","26.7",",0,1030,","32.2","0,0708,","0.0","0,0814","-2.2","0,0822","-5.6","0,0904","-8.9","0,0919","-8.9","0,0919","-0.6","0,0623","-2.2","0,0604","-5.6","0,0524","-10.0","0,0505","-10.0","0,0505","6151.4","","6151.4","0","726.9",",0","5424",",0","0.69","0","9.35","0","-7.97","0"
"USC00248857","1965","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","2.0","","2.0","0","135","0","81","0","180","","53","0","61","0","277","0","85","0","63","0","0","0","-38.3","0,0211,","1651",",0,0129,+","406",",0,0107,","33.0",",0,0107,","31.7","0,0809,","0.0","0,0814","-2.2","0,0827","-4.4","0,0830","-8.3","0,0916","-10.0","0,0917","-0.6","0,0714","-2.2","0,0713","-5.6","0,0527","-7.2","0,0518","-8.9","0,0427","6234.7","","6234.7","0","656.3",",0","4471",",0","1.20","0","9.74","0","-7.33","0"
"USC00248857","1966","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","7.0","","7.0","0","106","0","61","0","167","","55","0","59","0","263","0","96","0","104","0","5","0","-37.2","0,0304,","1092",",0,0303,+","330",",0,1205,","23.1",",0,0522,","33.3","0,0730,+","-3.3","0,0821","-3.3","0,0821","-5.6","0,0930","-7.2","0,1001","-8.9","0,1004","-2.8","0,0626","-2.8","0,0626","-4.4","0,0613","-10.6","0,0523","-10.6","0,0523","6044.4","","6044.4","0","479.4",",0","3341",",0","1.86","0","10.63","0","-6.92","0"
"USC00248857","1967","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","2.0","","2.0","0","141","0","83","0","187","","65","0","47","0","250","0","102","0","92","0","0","0","-37.2","0,1214,","1778",",0,0314,+","330",",0,0313,","32.3",",0,1005,","31.7","0,0713,+","-2.8","0,0912","-2.8","0,0912","-4.4","0,0919","-7.2","0,1015","-8.9","0,1024","-3.3","0,0624","-3.3","0,0624","-5.0","0,0516","-7.8","0,0514","-8.9","0,0513","5975.9","","5975.9","0","664.4",",0","4208",",0","1.72","0","9.42","0","-5.97","0"
"USC00248857","1968","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","5.8","","5.8","0","136","0","74","0","188","","61","0","54","0","265","0","82","0","71","0","0","0","-37.8","0,1231,","1372",",0,0201,+","406",",0,0127,","26.2",",0,0819,","31.7","0,0719,","0.0","0,0824","-2.2","0,0829","-4.4","0,0921","-6.7","0,1003","-10.0","0,1008","-1.1","0,0702","-3.3","0,0520","-4.4","0,0519","-7.2","0,0516","-13.9","0,0423","5950.1","","5950.1","0","672.0",",0","3700",",0","1.47","0","9.01","0","-6.07","0"
"USC00248857","1969","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","4.0","","4.0","0","111","0","61","0","170","","45","0","58","0","273","0","85","0","100","0","5","0","-30.6","0,1228,+","1549",",0,0225,","254",",0,1116,+","22.1",",0,0121,","33.9","0,0810,","-1.1","0,0807","-2.8","0,0831","-5.0","0,0915","-9.4","0,1005","-9.4","0,1005","-1.1","0,0705","-2.2","0,0630","-4.4","0,0601","-6.7","0,0501","-11.1","0,0329","6067.0","","6067.0","0","448.1",",0","3208",",0","2.03","0","10.52","0","-6.45","0"
"USC00248857","1970","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","16.5","","16.5","0","142","0","79","0","204","","68","0","46","0","262","0","82","0","92","0","1","0","-40.6","0,0105,","1219",",0,0309,","330",",0,0308,","27.9",",0,0908,","32.8","0,0626,","-2.2","0,0909","-2.2","0,0909","-4.4","0,0910","-6.7","0,0915","-8.9","0,0925","-1.1","0,0701","-2.2","0,0630","-6.7","0,0514","-6.7","0,0514","-9.4","0,0513","6088.5","","6088.5","0","626.6",",0","4912",",0","1.43","0","9.38","0","-6.52","0"
"USC00248857","1971","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","15.0","","15.0","0","132","0","67","0","204","","69","0","51","0","272","0","106","0","84","0","1","0","-40.0","0,0103,","1651",",0,0319,+","305",",0,1027,","31.5",",0,0829,","32.2","0,0814,","-3.3","0,0824","-3.3","0,0824","-7.8","0,0915","-7.8","0,0915","-10.0","0,0918","0.0","0,0705","-2.2","0,0701","-5.6","0,0519","-7.8","0,0517","-9.4","0,0427","6210.7","","6210.7","0","582.1",",0","4489",",0","1.13","0","8.79","0","-6.53","0"
"USC00248857","1972","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","1.7","","1.7","0","131","0","74","0","179","","48","0","48","0","261","0","97","0","81","0","0","0","-44.4","0,1210,","1118",",0,0215,","229",",0,0325,","24.4",",0,0905,","31.7","0,0809,","-0.6","0,0824","-3.3","0,0908","-4.4","0,0914","-7.8","0,0924","-9.4","0,1027","-1.7","0,0723","-2.2","0,0704","-4.4","0,0513","-8.9","0,0502","-8.9","0,0502","6085.4","","6085.4","0","562.2",",0","2630",",0","1.41","0","8.80","0","-5.98","0"
"USC00248857","1973","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","0.0","","0.0","0","131","0","76","0","","","","","51","0","260","0","86","0","87","0","1","0","-38.9","0,0104,","","","","","24.1",",0,0720,","32.2","0,0710,","0.0","0,0829","-2.8","0,0916","-5.0","0,0917","-7.8","0,1003","-8.9","0,1010","-2.2","0,0702","-2.2","0,0702","-6.1","0,0618","-6.7","0,0528","-9.4","0,0502","6378.3","","6378.3","0","637.3",",0","","","1.56","0","9.29","0","-6.17","0"
"USC00248857","1975","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","8.3","","8.3","0","145","0","75","0","","","","","64","0","275","0","114","0","75","0","0","0","-36.1","0,0112,","","","","","32.3",",0,0620,","31.1","0,0727,","-0.6","0,0801","-2.2","0,0829","-7.8","0,0919","-7.8","0,0919","-12.8","0,1023","0.0","0,0623","-2.2","0,0611","-4.4","0,0529","-7.2","0,0526","-8.9","0,0502","6305.3","","6305.3","0","574.5",",0","","","0.73","0","8.04","0","-6.58","0"
"USC00248857","1976","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","110","0","52","0","","","","","","","","","","","","","","","","","","","","","28.7",",0,0504,","","","","","","","","","","","","","","","","","","","","","","","6020.9","","6020.9","0","485.8",",0","","","","","","","",""
"USC00248857","1977","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","4.7","","4.7","0","133","0","57","0","","","","","55","0","249","0","97","0","87","0","0","0","-37.2","0,0109,","","","","","20.8",",0,0826,","30.6","0,0605,","-0.6","0,0812","-2.8","0,0831","-5.0","0,0909","-7.8","0,1005","-10.6","0,1011","0.0","0,0715","-2.8","0,0531","-5.0","0,0513","-8.3","0,0505","-10.6","0,0415","","","","","471.5",",0","","","2.00","0","9.84","0","-5.84","0"
"USC00248857","1978","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5646.2","","5646.2","0","","","","","","","","","",""
"USC00248857","1981","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","2.5","","2.5","0","120","0","60","0","","","","","38","0","256","0","67","0","88","0","1","0","-42.2","0,0210,","","","","","18.5",",0,0526,","32.8","0,0826,","0.0","0,0801","-4.4","0,0831","-4.4","0,0831","-7.2","0,1001","-9.4","0,1015","0.0","0,0731","-3.3","0,0708","-5.6","0,0512","-7.2","0,0509","-9.4","0,0417","5511.8","","5511.8","0","458.5",",0","","","2.77","0","10.88","0","-5.34","0"
"USC00248857","1982","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","1.7","","1.7","0","153","0","77","0","","","","","65","0","272","0","104","0","84","0","0","0","-45.0","0,0205,","","","","","27.7",",0,0328,","31.7","0,0807,","-0.6","0,0803","-2.2","0,0813","-4.4","0,0911","-7.2","0,1006","-12.8","0,1008","-1.1","0,0707","-2.8","0,0618","-5.0","0,0605","-7.2","0,0531","-9.4","0,0506","6080.6","","6080.6","0","635.2",",0","","","0.46","0","8.28","0","-7.36","0"
"USC00248857","1983","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","9.9","","9.9","0","140","0","88","0","","","55","0","42","0","255","0","89","0","74","0","2","0","-44.4","0,1224,","","","191",",0,0213,","35.8",",0,0930,","33.3","0,0807,","-0.6","0,0901","-2.8","0,0906","-5.6","0,0910","-10.6","0,0919","-10.6","0,0919","-0.6","0,0727","-2.2","0,0704","-6.1","0,0531","-9.4","0,0514","-9.4","0,0514","6140.1","","6140.1","0","702.8",",0","4498",",0","1.76","0","8.82","0","-5.29","0"
"USC00248857","1984","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","172","0","72","0","202","","60","0","","","","","109","0","80","0","0","0","","","1118",",0,1230,","246",",0,1107,","18.8",",0,0921,","31.1","0,0810,","","","","","","","","","","","","","","","","","","","","","","","","","604.5",",0","5123",",0","","","8.30","0","",""
"USC00248857","1985","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6410.1","","6410.1","0","","","","","","","","","",""
"USC00248857","1987","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","117","0","54","0","146","","37","0","","","","","","","","","","","","","711",",0,0301,","175",",0,0104,","30.0",",0,0710,","","","","","","","","","","","","","","","","","","","","","","","","","","","441.2",",0","2528",",0","","","","","",""
"USC00248857","1990","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","133","0","65","0","169","","52","0","48","0","246","0","82","0","94","0","2","0","-43.3","0,1221,","1092",",0,0218,","257",",0,0130,","22.4",",0,0108,","32.2","0,0807,+","-1.7","0,0827","-2.8","0,0914","-4.4","0,0921","-13.3","0,1007","-13.3","0,1007","-0.6","0,0704","-2.2","0,0603","-6.7","0,0516","-6.7","0,0516","-9.4","0,0509","","","","","540.6",",0","5144",",0","1.98","0","9.92","0","-5.95","0"
"USC00248857","1992","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","160","","47","0","","","","","","","","","","","","","1270",",0,1230,","429",",0,1229,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4455",",0","","","","","",""
"USC00248857","1994","44.65","-111.1","2029.7","WEST YELLOWSTONE, MT US","","","","","","","","","170","","62","0","","","","","","","","","","","","","1575",",0,1217,","475",",0,1203,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7012",",0","","","","","",""
